index,user,path,rating
0,20,239,0.908191
1,12,336,2.320726
2,10,387,0.13431324
3,28,424,3.8171544
4,28,277,4.914151
5,17,275,3.6022434
6,46,180,2.578861
7,26,32,4.109673
8,47,251,4.5295615
9,40,390,3.0191722
10,6,284,3.6979635
11,29,220,3.4964626
12,34,362,2.610817
13,15,81,3.3608692
14,37,344,3.8638945
15,13,146,1.558464
16,25,125,0.11666975
17,16,419,1.2384024
18,35,270,2.8579245
19,43,436,3.5881128
20,24,24,0.62052804
21,14,80,4.511499
22,11,271,3.1123354
23,40,60,2.219486
24,9,351,4.240229
25,3,401,4.443691
26,26,206,0.43344957
27,44,290,0.10690861
28,22,173,0.6603865
29,36,59,1.7104007
30,15,301,3.9816754
31,20,335,3.834438
32,18,149,0.88995504
33,18,163,0.5784773
34,22,89,4.5725646
35,4,288,4.226991
36,13,107,4.942844
37,12,392,4.4891953
38,6,244,1.6229988
39,30,63,3.232494
40,16,221,1.7608994
41,35,377,4.1778398
42,23,54,0.39419797
43,36,350,4.8574424
44,3,256,4.010912
45,40,296,3.2982578
46,40,38,2.6087835
47,9,208,1.3645301
48,11,340,4.992214
49,1,215,4.8876905
50,35,67,3.0652273
51,5,45,1.7550606
52,5,423,1.3715893
53,22,368,4.893202
54,11,11,1.9237356
55,4,270,1.4779198
56,37,392,4.9820232
57,1,72,1.304575
58,46,21,2.9891887
59,4,369,3.0299501
60,26,239,3.7851129
61,22,25,4.5414424
62,35,36,2.7526393
63,27,322,3.9259696
64,29,381,2.5717082
65,27,389,1.360225
66,1,399,2.4342895
67,28,382,0.2553117
68,27,134,4.4092593
69,5,188,4.8744783
70,30,211,2.3989756
71,8,314,1.0831811
72,40,32,1.0372628
73,35,190,3.5647595
74,22,397,1.1660354
75,15,23,1.9056853
76,4,272,0.73937154
77,9,195,3.6944788
78,48,156,4.889677
79,28,229,4.5045276
80,42,210,2.7341444
81,7,276,4.438563
82,26,58,2.2539759
83,25,230,1.3238945
84,23,14,4.7012997
85,10,306,0.7717497
86,44,100,2.304207
87,12,171,3.504821
88,45,435,2.0145595
89,39,296,3.2663748
90,19,303,1.0013062
91,32,45,3.9551122
92,38,280,0.3023393
93,12,390,4.2724285
94,46,205,1.2144226
95,26,294,1.1718832
96,28,249,4.3283315
97,14,384,3.0623064
98,22,119,3.1737573
99,21,66,1.0658865
100,8,77,2.642691
101,1,165,1.4976811
102,18,47,1.1169996
103,17,214,2.6346543
104,41,180,2.4300232
105,23,379,2.6552014
106,16,6,2.3187711
107,15,73,1.0158219
108,5,46,1.840702
109,8,150,0.8211573
110,15,220,2.037662
111,45,16,3.8457544
112,30,299,4.443263
113,25,256,4.768503
114,36,171,4.367216
115,19,70,0.8491932
116,21,273,0.27797955
117,48,425,4.2955837
118,46,16,0.2611815
119,48,204,0.5478316
120,29,355,3.6658976
121,30,36,3.6549394
122,15,47,1.5150129
123,49,263,1.5873204
124,35,210,1.678021
125,22,398,2.961747
126,16,6,3.1144443
127,16,429,2.700212
128,7,299,1.9913437
129,45,108,3.614837
130,2,233,2.9395137
131,8,390,1.1597974
132,19,175,1.0436184
133,7,143,2.0690007
134,5,84,2.1012886
135,18,50,1.1185406
136,16,263,3.805566
137,7,36,0.24410777
138,36,157,0.4646643
139,12,406,2.313507
140,4,223,3.6406677
141,4,3,1.4823338
142,25,109,3.455078
143,38,251,4.3616104
144,29,48,2.1086502
145,23,104,3.7063723
146,49,275,4.837217
147,2,140,2.6261153
148,25,255,0.47408807
149,15,60,4.474347
150,19,376,0.51647604
151,40,94,0.5956967
152,16,5,4.8801417
153,50,154,3.314708
154,24,224,1.8356901
155,31,286,4.6428323
156,28,87,2.963013
157,19,429,2.3736744
158,33,367,0.8529479
159,34,105,4.7134075
160,10,320,3.858184
161,19,376,0.37366197
162,2,387,4.515844
163,50,176,3.290217
164,33,67,1.9194933
165,30,9,3.2711585
166,37,398,2.4813306
167,4,350,2.8933473
168,29,240,4.984317
169,41,359,4.39068
170,37,270,0.5258774
171,38,109,0.13672946
172,3,327,1.5071088
173,32,313,4.571799
174,17,214,3.6516926
175,27,267,4.662299
176,1,404,4.968289
177,43,344,3.6808965
178,23,291,1.8497603
179,7,265,1.2962087
180,46,308,2.8210986
181,10,278,2.8475358
182,10,292,2.1663282
183,19,179,4.8311744
184,30,275,2.272025
185,26,65,0.20445834
186,35,422,0.98850703
187,36,285,0.11436911
188,45,61,3.224625
189,36,271,2.0596185
190,17,403,2.2960534
191,47,82,2.999217
192,22,302,2.6463966
193,43,280,4.997204
194,24,296,3.7000184
195,23,338,4.0342927
196,16,61,3.91069
197,9,153,4.4958825
198,26,234,3.6154199
199,29,318,4.9971156
200,32,133,0.5684129
201,9,435,1.9173672
202,32,414,2.563185
203,11,413,1.8712958
204,6,88,1.6666684
205,16,390,4.00102
206,4,326,1.6151252
207,35,212,1.4927524
208,14,286,4.580067
209,13,260,2.4573522
210,50,15,0.22059567
211,37,199,2.395239
212,1,129,1.4539585
213,32,357,0.8279196
214,12,309,3.3037896
215,21,421,0.47958
216,6,403,3.8661466
217,38,374,4.462237
218,32,296,0.30267608
219,1,109,1.1977293
220,25,178,1.6687034
221,44,269,2.9802647
222,5,163,4.4875226
223,11,331,1.9238822
224,32,59,4.5349436
225,1,146,4.9526505
226,3,324,2.796501
227,28,399,4.0544167
228,40,420,4.5604777
229,33,424,4.2673945
230,11,264,2.1931603
231,2,338,1.9714217
232,8,59,2.150536
233,36,410,3.3078582
234,48,227,0.31802163
235,25,422,2.386969
236,14,136,3.8576267
237,25,293,1.7099249
238,20,109,4.123364
239,45,420,3.3053873
240,1,149,3.7534566
241,1,366,4.8383713
242,6,5,0.27595568
243,23,108,4.5727096
244,45,360,2.6784453
245,46,384,1.718167
246,20,141,4.964385
247,4,219,3.176065
248,24,26,4.8510733
249,26,375,3.229007
250,49,326,3.8761902
251,33,368,3.1482258
252,30,391,4.0407376
253,43,295,2.1693678
254,28,203,1.1297445
255,17,160,3.212553
256,44,40,2.2782545
257,33,102,1.7071458
258,36,162,2.2895615
259,19,224,3.2774136
260,37,67,4.8398976
261,29,217,1.3486632
262,46,74,0.6474498
263,28,144,3.0960114
264,17,19,0.28679857
265,18,403,1.3369136
266,31,95,0.4041898
267,49,104,2.4808054
268,47,396,1.9562232
269,39,81,4.3350043
270,16,270,3.6096296
271,14,336,4.7464375
272,39,52,1.7240525
273,38,148,1.7353159
274,24,383,1.5079124
275,37,68,3.4590547
276,20,350,4.6227317
277,3,189,2.7004712
278,45,42,3.709102
279,30,235,1.8496604
280,46,25,4.109862
281,27,433,0.3531955
282,14,301,1.638058
283,26,269,4.016457
284,26,233,0.3550663
285,31,21,0.6871139
286,23,35,4.5873814
287,34,78,3.414158
288,36,155,0.24235295
289,17,148,0.85452545
290,6,3,3.7157834
291,27,303,4.5685225
292,43,200,2.0817053
293,39,325,3.086549
294,22,409,1.6569693
295,17,326,4.8900366
296,12,215,1.3366668
297,38,22,4.4303203
298,43,237,1.4183302
299,46,345,1.4532734
300,1,309,2.4344187
301,23,133,2.5347586
302,15,47,3.707977
303,34,76,2.3284426
304,34,275,1.2765081
305,43,54,2.1897678
306,32,77,3.27069
307,1,106,4.626896
308,15,286,0.9780296
309,27,9,2.5006478
310,10,61,2.2379375
311,13,13,4.9742293
312,43,373,3.5530732
313,17,292,4.0816836
314,37,384,4.94585
315,2,108,2.0720103
316,43,134,0.80881095
317,26,274,0.6090044
318,15,336,4.961221
319,35,64,1.4928061
320,42,39,3.1184158
321,40,241,4.2872734
322,23,410,3.4312527
323,44,251,3.911386
324,16,83,4.704841
325,3,285,1.5549097
326,9,392,4.6266456
327,47,62,4.93378
328,20,17,0.40889436
329,17,49,0.9422815
330,26,283,1.8822408
331,35,244,4.107836
332,49,404,0.132484
333,29,363,2.1684499
334,26,88,2.0567412
335,27,222,1.8380998
336,30,353,4.574572
337,4,194,3.5887475
338,28,432,1.4150242
339,43,89,1.9877203
340,28,247,1.0423976
341,14,265,0.26585627
342,24,5,3.0713167
343,39,62,0.55871844
344,17,37,2.9714878
345,28,357,2.1661367
346,1,382,3.61338
347,44,92,3.3599539
348,45,204,0.94174033
349,36,435,1.4016645
350,10,65,4.5743513
351,5,314,1.1107584
352,24,218,2.066536
353,39,3,2.9152448
354,38,181,4.5494275
355,42,99,2.7319887
356,50,110,2.9920042
357,35,328,2.738854
358,8,319,1.653604
359,6,412,1.3162646
360,37,48,2.8693368
361,3,149,2.3259861
362,27,116,3.978353
363,48,186,4.9264393
364,20,419,0.20857601
365,24,298,1.5384052
366,5,313,4.287474
367,45,113,4.363863
368,21,402,3.3996434
369,12,401,1.4032824
370,50,307,1.8726288
371,16,105,1.3295451
372,9,408,3.360643
373,10,276,1.582673
374,21,259,0.524936
375,41,311,1.3079569
376,35,286,0.20377846
377,14,433,1.3573184
378,47,45,4.7143364
379,17,285,0.2704206
380,19,362,3.7725246
381,7,82,1.5992624
382,30,56,3.6419673
383,20,340,3.5631163
384,26,177,1.1689956
385,25,298,3.2196155
386,2,130,0.9963891
387,44,331,2.690157
388,6,172,4.5929213
389,1,231,4.4214716
390,6,104,0.9447058
391,5,197,2.9388452
392,4,289,4.905922
393,44,256,4.962337
394,18,380,3.4768655
395,44,416,1.3580774
396,27,226,2.078275
397,50,115,4.293987
398,17,259,3.6669788
399,4,67,0.2643024
400,11,400,1.4244149
401,35,259,3.4562626
402,24,404,0.115216814
403,24,414,0.6036954
404,21,104,4.2800565
405,23,194,1.5744132
406,31,370,4.814218
407,17,292,0.6074329
408,8,71,3.0793722
409,42,7,1.7080101
410,11,86,1.7052819
411,38,223,0.66090584
412,41,243,1.4726642
413,44,139,0.25015888
414,24,365,4.5517187
415,10,133,4.9767222
416,29,53,0.5520111
417,37,334,4.9673233
418,10,64,1.4379164
419,13,84,1.0923189
420,17,130,2.4888456
421,31,394,3.702395
422,4,358,3.074518
423,35,320,0.35602748
424,13,100,0.7629033
425,49,60,4.8656383
426,36,179,0.2550736
427,45,122,0.8396474
428,48,184,3.753509
429,38,102,0.54465806
430,16,157,2.6616573
431,50,302,4.2091594
432,4,234,0.69800484
433,24,428,3.3581634
434,18,355,1.554606
435,44,340,0.65918326
436,20,336,3.7547884
437,10,227,2.366072
438,43,402,2.1872582
439,41,124,0.7804054
440,10,239,2.6501727
441,35,137,2.312553
442,29,248,3.0418344
443,49,343,0.617995
444,7,299,3.9815075
445,49,233,4.0218616
446,16,187,3.4280992
447,14,347,0.8020788
448,49,227,3.991941
449,10,326,0.1683085
450,42,205,0.6386413
451,29,53,2.1241558
452,50,333,4.7135897
453,38,205,2.8825781
454,35,273,3.0589466
455,33,184,0.351571
456,9,416,2.8499794
457,1,27,3.7078967
458,48,91,2.754716
459,46,230,2.8973475
460,17,102,3.377589
461,4,374,2.9033206
462,8,181,1.5276339
463,4,197,3.9899964
464,8,234,2.8724415
465,40,8,1.375216
466,14,344,3.2644734
467,2,48,1.3805983
468,22,320,3.1549046
469,23,383,2.290914
470,22,175,2.1060858
471,48,91,3.2901082
472,30,420,3.9879286
473,33,38,0.14637697
474,29,37,1.9908241
475,18,99,2.7488163
476,13,110,0.2833805
477,2,406,1.8379387
478,19,11,3.7943382
479,2,296,4.3301406
480,40,221,0.68344253
481,28,375,4.766952
482,41,236,4.819308
483,14,414,3.9831164
484,13,214,2.9786909
485,35,404,1.5960164
486,28,135,2.485517
487,8,268,3.1067214
488,18,321,0.20999767
489,37,384,2.2509356
490,1,3,3.7414184
491,20,307,3.4803529
492,34,408,1.3638737
493,44,106,4.072063
494,29,325,3.551089
495,21,356,4.767292
496,32,13,0.50918496
497,7,380,0.7268972
498,11,64,1.0166246
499,17,73,1.3699178
500,21,254,2.712997
501,17,209,3.0581396
502,24,112,3.223468
503,43,223,2.0806432
504,20,425,3.9027839
505,7,246,3.8136725
506,3,60,0.27843133
507,19,186,0.7307813
508,45,221,2.5604103
509,41,429,3.611573
510,29,160,0.15192959
511,30,127,2.2349856
512,48,23,2.3585854
513,21,313,3.0831199
514,21,39,3.1183765
515,21,25,0.33413243
516,5,203,0.931356
